
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             1070centroid  

                0.               529.728E-15  
              100.E-03           239.18E-03   
              200.E-03           605.437E-03  
              300.E-03           919.566E-03  
              400.E-03             1.1849     
              500.E-03             1.79338    
              600.E-03             3.95988    
              700.E-03             8.82953    
              800.E-03            16.1219     
              900.E-03            24.8801     
                1.                24.3869     
                1.                24.3869     
                1.1               29.6045     
                1.2               30.2789     
                1.3               28.5106     
                1.4               25.7        
                1.5               24.6842     
                1.6               31.069      
                1.7               50.9158     
                1.8               82.1477     
                1.9              107.644      
                2.               121.183      
                2.               121.183      
                2.1              121.433      
                2.2              120.951      
                2.3              119.893      
                2.4              118.841      
                2.5              116.906      
                2.6              114.674      
                2.7              112.145      
                2.8              109.309      
                2.9              105.743      
                3.               102.613      
                3.               102.613      
                3.1               75.9034     
                3.2               55.6695     
                3.3               41.1889     
                3.4               31.0325     
                3.5               26.4397     
                3.6               28.7951     
                3.7               34.9708     
                3.8               36.9266     
                3.9               33.0925     
                4.                30.6155     
                4.                30.6155     
                4.1               29.9466     
                4.2               29.1886     
                4.3               28.4523     
                4.4               27.728      
                4.5               27.1        
                4.6               26.5509     
                4.7               26.0787     
                4.8               25.6862     
                4.9               25.3789     
                5.                25.1637     




