
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             2207centroid  

                0.               529.728E-15  
              100.E-03           238.349E-03  
              200.E-03           694.111E-03  
              300.E-03             1.22975    
              400.E-03             1.77287    
              500.E-03             2.51947    
              600.E-03             4.52287    
              700.E-03             9.3332     
              800.E-03            17.1731     
              900.E-03            27.4055     
                1.                37.485      
                1.                37.485      
                1.1               57.132      
                1.2               70.5857     
                1.3               79.6654     
                1.4               83.1658     
                1.5               78.4096     
                1.6               62.0834     
                1.7               41.9175     
                1.8               36.8551     
                1.9               46.5092     
                2.                55.7405     
                2.                55.7405     
                2.1               56.4501     
                2.2               56.7604     
                2.3               56.7269     
                2.4               56.7057     
                2.5               56.1282     
                2.6               55.3678     
                2.7               54.4511     
                2.8               53.4018     
                2.9               52.2458     
                3.                51.0162     
                3.                51.0162     
                3.1               42.4102     
                3.2               45.675      
                3.3               55.5772     
                3.4               69.5006     
                3.5               83.9764     
                3.6               90.2181     
                3.7               82.3734     
                3.8               64.0955     
                3.9               49.5042     
                4.                42.7423     
                4.                42.7423     
                4.1               41.8366     
                4.2               40.9646     
                4.3               40.2268     
                4.4               39.4912     
                4.5               39.0309     
                4.6               38.7234     
                4.7               38.5782     
                4.8               38.6174     
                4.9               38.8728     
                5.                39.3867     




