
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             3250centroid  

                0.               529.728E-15  
              100.E-03           240.566E-03  
              200.E-03           693.348E-03  
              300.E-03             1.13759    
              400.E-03             1.43336    
              500.E-03             1.56504    
              600.E-03             1.92846    
              700.E-03             3.10057    
              800.E-03             5.15627    
              900.E-03             7.76302    
                1.                 7.16626    
                1.                 7.16626    
                1.1                7.62874    
                1.2                7.58032    
                1.3                7.98973    
                1.4               10.2581     
                1.5               17.105      
                1.6               32.5482     
                1.7               57.3061     
                1.8               83.6918     
                1.9               99.5152     
                2.               106.581      
                2.               106.581      
                2.1              106.737      
                2.2              106.496      
                2.3              105.914      
                2.4              105.334      
                2.5              104.224      
                2.6              102.953      
                2.7              101.531      
                2.8               99.9598     
                2.9               98.2276     
                3.                96.3144     
                3.                96.3144     
                3.1               80.885      
                3.2               64.9634     
                3.3               49.4449     
                3.4               34.0817     
                3.5               20.2062     
                3.6               10.8918     
                3.7                8.17463    
                3.8                8.87881    
                3.9                8.89481    
                4.                 8.71223    
                4.                 8.71223    
                4.1                8.60586    
                4.2                8.46178    
                4.3                8.30214    
                4.4                8.1458     
                4.5                7.98272    
                4.6                7.83187    
                4.7                7.69402    
                4.8                7.56988    
                4.9                7.46022    
                5.                 7.36567    




