
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             3071centroid  

                0.                 0.         
              100.E-03           271.508E-03  
              200.E-03           677.264E-03  
              300.E-03           952.234E-03  
              400.E-03           946.122E-03  
              500.E-03           714.193E-03  
              600.E-03           959.774E-03  
              700.E-03             2.65323    
              800.E-03             5.8739     
              900.E-03            10.0304     
                1.                12.9095     
                1.                12.9095     
                1.1               15.1317     
                1.2               15.2367     
                1.3               14.6796     
                1.4               14.9892     
                1.5               19.091      
                1.6               31.7762     
                1.7               55.701      
                1.8               85.1186     
                1.9              105.493      
                2.               115.475      
                2.               115.475      
                2.1              115.769      
                2.2              115.49       
                2.3              114.744      
                2.4              114.001      
                2.5              112.546      
                2.6              110.868      
                2.7              108.976      
                2.8              106.862      
                2.9              104.509      
                3.               101.889      
                3.               101.889      
                3.1               80.9165     
                3.2               62.206      
                3.3               46.092      
                3.4               31.7968     
                3.5               20.6805     
                3.6               15.478      
                3.7               16.5028     
                3.8               18.3199     
                3.9               17.2773     
                4.                16.3475     
                4.                16.3475     
                4.1               16.0976     
                4.2               15.7544     
                4.3               15.3886     
                4.4               15.0293     
                4.5               14.6812     
                4.6               14.3701     
                4.7               14.0958     
                4.8               13.8605     
                4.9               13.667      
                5.                13.519      




