
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             3330centroid  

                0.               529.728E-15  
              100.E-03           240.884E-03  
              200.E-03           974.63E-03   
              300.E-03             2.28854    
              400.E-03             4.38916    
              500.E-03             7.74981    
              600.E-03            13.1372     
              700.E-03            21.0008     
              800.E-03            30.937      
              900.E-03            42.2722     
                1.                46.6476     
                1.                46.6476     
                1.1               46.2091     
                1.2               43.9338     
                1.3               40.8648     
                1.4               37.9113     
                1.5               36.4865     
                1.6               38.6532     
                1.7               44.7239     
                1.8               50.5765     
                1.9               52.9296     
                2.                53.5052     
                2.                53.5052     
                2.1               53.3842     
                2.2               53.1464     
                2.3               52.8372     
                2.4               52.486      
                2.5               52.1113     
                2.6               51.7248     
                2.7               51.3337     
                2.8               50.9423     
                2.9               50.5524     
                3.                50.1634     
                3.                50.1634     
                3.1               48.6914     
                3.2               45.9467     
                3.3               42.3749     
                3.4               38.8138     
                3.5               36.6322     
                3.6               37.8945     
                3.7               43.0704     
                3.8               48.2676     
                3.9               50.2603     
                4.                50.6685     
                4.                50.6685     
                4.1               50.5399     
                4.2               50.3032     
                4.3               50.0028     
                4.4               49.6669     
                4.5               49.3129     
                4.6               48.9519     
                4.7               48.5906     
                4.8               48.2331     
                4.9               47.8815     
                5.                47.5357     




