
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             2333centroid  

                0.               529.728E-15  
              100.E-03           238.196E-03  
              200.E-03           735.456E-03  
              300.E-03             1.31313    
              400.E-03             1.75121    
              500.E-03             1.83207    
              600.E-03             1.79165    
              700.E-03             2.66863    
              800.E-03             5.23461    
              900.E-03             9.54417    
                1.                13.3351     
                1.                13.3351     
                1.1               24.0562     
                1.2               31.8029     
                1.3               36.5914     
                1.4               37.5835     
                1.5               33.019      
                1.6               22.0768     
                1.7               12.0747     
                1.8               15.0141     
                1.9               26.6885     
                2.                34.8269     
                2.                34.8269     
                2.1               34.8904     
                2.2               34.5741     
                2.3               33.9961     
                2.4               33.4406     
                2.5               32.4621     
                2.6               31.3264     
                2.7               30.0431     
                2.8               28.6199     
                2.9               27.0667     
                3.                25.3989     
                3.                25.3989     
                3.1               15.3954     
                3.2               14.3263     
                3.3               19.2209     
                3.4               28.1584     
                3.5               39.065      
                3.6               45.9002     
                3.7               43.4948     
                3.8               32.5083     
                3.9               24.4868     
                4.                20.5836     
                4.                20.5836     
                4.1               19.7947     
                4.2               18.9246     
                4.3               18.0965     
                4.4               17.2704     
                4.5               16.6042     
                4.6               16.03       
                4.7               15.5446     
                4.8               15.1551     
                4.9               14.8745     
                5.                14.7218     




