
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             1403centroid  

                0.               529.728E-15  
              100.E-03           238.48E-03   
              200.E-03             1.14321    
              300.E-03             3.0464     
              400.E-03             6.51828    
              500.E-03            12.6688     
              600.E-03            22.6701     
              700.E-03            35.7686     
              800.E-03            49.6791     
              900.E-03            62.6602     
                1.                70.0563     
                1.                70.0563     
                1.1               77.174      
                1.2               90.1558     
                1.3              106.787      
                1.4              123.503      
                1.5              135.536      
                1.6              131.666      
                1.7              109.636      
                1.8               83.0606     
                1.9               65.7677     
                2.                59.1282     
                2.                59.1282     
                2.1               58.9135     
                2.2               58.9111     
                2.3               59.0786     
                2.4               59.2488     
                2.5               59.6917     
                2.6               60.2909     
                2.7               61.0789     
                2.8               62.0963     
                2.9               63.3941     
                3.                65.0349     
                3.                65.0349     
                3.1               85.163      
                3.2              104.715      
                3.3              120.404      
                3.4              131.784      
                3.5              133.952      
                3.6              118.131      
                3.7               87.8492     
                3.8               65.7896     
                3.9               60.2413     
                4.                62.3772     
                4.                62.3772     
                4.1               63.3369     
                4.2               64.3081     
                4.3               65.1702     
                4.4               66.0385     
                4.5               66.6953     
                4.6               67.3207     
                4.7               67.9568     
                4.8               68.6452     
                4.9               69.4312     
                5.                70.369      




