
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element11
                  X             0077centroid  

                0.                22.5663E-12 
              100.E-03            13.1482     
              200.E-03            51.0201     
              300.E-03           107.653      
              400.E-03           169.301      
              500.E-03           221.189      
              600.E-03           261.739      
              700.E-03           300.614      
              800.E-03           345.663      
              900.E-03           399.869      
                1.               687.791      
                1.               687.791      
                1.00625          656.262      
                1.0125           642.811      
                1.01875          653.405      
                1.025            662.165      
                1.03437          671.664      
                1.04844          685.109      
                1.06953          706.142      
                1.07151          707.582      
                1.07225          707.979      
                1.07336          708.218      
                1.07378          708.207      
                1.07441          707.787      
                1.07464          707.545      
                1.07499          706.827      
                1.07512          706.499      
                1.07532          705.783      
                1.07562          703.427      
                1.07573          702.372      
                1.07577          701.96       
                1.07583          701.283      
                1.07593          700.144      
                1.07596          699.829      
                1.07602          701.444      
                1.07604          702.712      
                1.07607          705.759      
                1.0761           702.51       
                1.07613          693.643      
                1.07617          678.863      
                1.07624          663.022      
                1.07634          651.165      
                1.07649          644.743      
                1.07671          642.438      
                1.07705          642.403      
                1.07756          643.379      
                1.07832          644.74       
                1.07947          646.217      
                1.08118          647.755      
                1.08375          649.518      
                1.08761          651.927      
                1.09339          655.646      
                1.10207          661.74       
                1.11509          671.98       
                1.13462          689.345      
                1.16391          718.582      
                1.20785          766.197      
                1.27376          838.113      
                1.37262          931.064      
                1.47262          994.414      
                1.57262            1.02144E+03
                1.67262            1.01085E+03
                1.77262          960.717      
                1.87262          848.194      
                1.87887          835.585      
                1.88824          809.475      
                1.89176          795.408      
                1.89308          788.927      
                1.89505          774.558      
                1.8958           767.75       
                1.89691          749.979      
                1.89733          741.047      
                1.89795          710.745      
                1.89889          382.659      
                1.89983          366.809      
                1.90077          365.153      
                1.90217          364.474      
                1.90429          363.769      
                1.90745          362.77       
                1.91221          361.291      
                1.91933          359.102      
                1.93002          355.878      
                1.94606          351.178      
                1.97011          344.424      
                2.               336.512      
                2.               336.512      
                2.25             400.554      
                2.5              508.395      
                2.75             677.257      
                3.               925.771      
                3.               925.771      
                3.00781            1.38619E+03
                3.01563            1.3892E+03 
                3.02344            1.38491E+03
                3.03125            1.38043E+03
                3.04297            1.37314E+03
                3.06055            1.36E+03   
                3.08691            1.275E+03  
                3.09351            1.24137E+03
                3.1001             1.19677E+03
                3.10257            1.17668E+03
                3.1035             1.16831E+03
                3.10489            1.15289E+03
                3.10541            1.14651E+03
                3.10619            1.13465E+03
                3.10648            1.12985E+03
                3.10692            1.12106E+03
                3.10758            1.09977E+03
                3.10783            1.09031E+03
                3.10792            1.08647E+03
                3.10806            1.0898E+03 
                3.10812            1.09308E+03
                3.10819            1.10862E+03
                3.10831            1.20375E+03
                3.10836            1.24408E+03
                3.10842            1.30637E+03
                3.10845            1.32629E+03
                3.10848            1.34826E+03
                3.10854            1.3512E+03 
                3.10862            1.32495E+03
                3.10875            1.28767E+03
                3.10894            1.25728E+03
                3.10922            1.2363E+03 
                3.10964            1.22184E+03
                3.11028            1.21221E+03
                3.11123            1.20642E+03
                3.11266            1.20317E+03
                3.1148             1.20112E+03
                3.11802            1.19933E+03
                3.12284            1.19725E+03
                3.13007            1.19448E+03
                3.14092            1.19083E+03
                3.15719            1.18624E+03
                3.1816             1.1811E+03 
                3.21822            1.17643E+03
                3.27314            1.17401E+03
                3.35552            1.17476E+03
                3.4791             1.17107E+03
                3.6041             1.14516E+03
                3.7291             1.08216E+03
                3.8541           954.064      
                3.88535          887.03       
                3.88828          877.389      
                3.89267          854.188      
                3.89432          840.683      
                3.89494          834.361      
                3.89586          819.002      
                3.89621          811.732      
                3.89673          793.422      
                3.89693          784.814      
                3.89722          764.003      
                3.89766          513.231      
                3.8981           447.003      
                3.89854          431.464      
                3.8992           426.538      
                3.90019          424.98       
                3.90168          424.31       
                3.9039           423.72       
                3.90725          422.916      
                3.91226          421.725      
                3.91977          419.948      
                3.93105          417.306      
                3.94796          413.389      
                3.97333          407.623      
                4.               401.702      
                4.               401.702      
                4.25             433.162      
                4.5              481.394      
                4.75             545.886      
                5.               625.042      




