
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             8439centroid  

                0.                22.5663E-12 
              100.E-03            13.1464     
              200.E-03            55.7935     
              300.E-03           119.914      
              400.E-03           186.657      
              500.E-03           238.695      
              600.E-03           268.943      
              700.E-03           284.815      
              800.E-03           295.583      
              900.E-03           306.087      
                1.               632.909      
                1.               632.909      
                1.00625          675.148      
                1.0125           553.648      
                1.01875          484.234      
                1.025            443.914      
                1.03437          402.191      
                1.04844          353.665      
                1.06953          325.426      
                1.07151          335.068      
                1.07225          336.63       
                1.07336          352.217      
                1.07378          356.159      
                1.07441          374.075      
                1.07464          379.371      
                1.07499          398.07       
                1.07512          403.962      
                1.07532          416.626      
                1.07562          465.739      
                1.07573          497.441      
                1.07577          507.875      
                1.07583          534.657      
                1.07593          601.397      
                1.07596          640.21       
                1.07602          763.21       
                1.07604          821.724      
                1.07607          897.899      
                1.0761           935.283      
                1.07613          969.325      
                1.07617            1.00195E+03
                1.07624            1.02431E+03
                1.07634            1.0361E+03 
                1.07649            1.04112E+03
                1.07671            1.04173E+03
                1.07705            1.03965E+03
                1.07756            1.03606E+03
                1.07832            1.03174E+03
                1.07947            1.02712E+03
                1.08118            1.02224E+03
                1.08375            1.01495E+03
                1.08761            1.00814E+03
                1.09339          998.107      
                1.10207          983.079      
                1.11509          961.109      
                1.13462          930.94       
                1.16391          888.263      
                1.20785          830.638      
                1.27376          755.375      
                1.37262          661.206      
                1.47262          583.071      
                1.57262          517.975      
                1.67262          463.23       
                1.77262          416.919      
                1.87262          376.598      
                1.87887          374.119      
                1.88824          370.135      
                1.89176          368.478      
                1.89308          367.86       
                1.89505          366.702      
                1.8958           366.274      
                1.89691          365.466      
                1.89733          365.192      
                1.89795          364.961      
                1.89889          351.477      
                1.89983          332.461      
                1.90077          328.135      
                1.90217          326.815      
                1.90429          326.259      
                1.90745          325.39       
                1.91221          324.75       
                1.91933          323.497      
                1.93002          321.592      
                1.94606          318.78       
                1.97011          314.678      
                2.               309.784      
                2.               309.784      
                2.25             305.583      
                2.5              317.162      
                2.75             332.855      
                3.               355.911      
                3.               355.911      
                3.00781          690.046      
                3.01563          635.434      
                3.02344          588.183      
                3.03125          558.714      
                3.04297          529.286      
                3.06055          512.908      
                3.08691          750.963      
                3.09351          719.957      
                3.1001           675.771      
                3.10257          651.383      
                3.1035           640.999      
                3.10489          621.106      
                3.10541          613.242      
                3.10619          599.266      
                3.10648          592.863      
                3.10692          586.256      
                3.10758          578.226      
                3.10783          581.97       
                3.10792          586.276      
                3.10806          595.466      
                3.10812          598.435      
                3.10819          611.825      
                3.10831          645.207      
                3.10836          663.714      
                3.10842          720.345      
                3.10845          726.175      
                3.10848          712.993      
                3.10854          710.131      
                3.10862          714.136      
                3.10875          719.64       
                3.10894          732.898      
                3.10922          753.121      
                3.10964          775.878      
                3.11028          797.538      
                3.11123          814.318      
                3.11266          824.401      
                3.1148           827.97       
                3.11802          826.569      
                3.12284          821.599      
                3.13007          814.212      
                3.14092          801.18       
                3.15719          783.14       
                3.1816           758.286      
                3.21822          722.861      
                3.27314          674.16       
                3.35552          609.134      
                3.4791           526.041      
                3.6041           456.445      
                3.7291           399.26       
                3.8541           353.66       
                3.88535          344.741      
                3.88828          344.11       
                3.89267          343.404      
                3.89432          343.465      
                3.89494          343.497      
                3.89586          344.068      
                3.89621          344.299      
                3.89673          345.474      
                3.89693          345.94       
                3.89722          347.781      
                3.89766          367.071      
                3.8981           348.034      
                3.89854          337.897      
                3.8992           332.771      
                3.90019          330.738      
                3.90168          329.827      
                3.9039           329.076      
                3.90725          327.951      
                3.91226          326.594      
                3.91977          324.433      
                3.93105          321.218      
                3.94796          316.501      
                3.97333          309.672      
                4.               302.82       
                4.               302.82       
                4.25             319.477      
                4.5              362.873      
                4.75             424.89       
                5.               503.456      




