
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             6749centroid  

                0.                12.9612E-12 
                1.E-03             4.41551    
                2.E-03            22.1002     
                3.5E-03           64.6052     
                5.75E-03         137.766      
                6.59375E-03      164.856      
                7.85938E-03      203.778      
                8.33398E-03      217.572      
                8.51196E-03      222.464      
                8.77893E-03      228.599      
                9.0459E-03       236.795      
                9.31287E-03      246.031      
                9.57983E-03      254.49       
                9.8468E-03       262.68       
               10.2473E-03       269.619      
               10.8479E-03       273.842      
               11.7489E-03       279.383      
               13.1005E-03       287.831      
               15.1278E-03       300.936      
               18.1687E-03       321.534      
               22.7301E-03       355.421      
               23.8704E-03       363.99       
               25.0108E-03       372.773      
               26.7213E-03       386.155      
               29.2871E-03       406.629      
               33.1358E-03       438.144      
               38.9088E-03       486.923      
               47.5683E-03       562.6        
               60.5576E-03       680.134      
               80.0415E-03       864.486      
              109.267E-03          1.1859E+03 
              153.106E-03          1.79085E+03
              218.864E-03          2.79688E+03
              317.502E-03          4.57882E+03
              417.502E-03          6.78337E+03
              517.502E-03          9.4484E+03 
              617.502E-03         12.6272E+03 
              717.502E-03         16.3696E+03 
              817.502E-03         20.7241E+03 
              917.502E-03         25.7379E+03 
                1.                30.4037E+03 
                1.                30.4037E+03 
                1.001             30.3893E+03 
                1.002             30.3736E+03 
                1.0035            30.3517E+03 
                1.00575           30.3204E+03 
                1.00912           30.274E+03  
                1.01419           30.2044E+03 
                1.02178           30.0993E+03 
                1.03317           29.9405E+03 
                1.05026           29.7003E+03 
                1.07589           29.337E+03  
                1.11433           28.7885E+03 
                1.172             27.9648E+03 
                1.25849           26.7461E+03 
                1.35849           25.3841E+03 
                1.45849           24.086E+03  
                1.55849           22.8569E+03 
                1.65849           21.6998E+03 
                1.75849           20.6265E+03 
                1.85849           19.8597E+03 
                1.86474           19.9805E+03 
                1.86631           20.0376E+03 
                1.86865           20.2134E+03 
                1.87216           21.4296E+03 
                1.87568           26.6622E+03 
                1.87656           28.6462E+03 
                1.87744           30.7926E+03 
                1.87876           34.2846E+03 
                1.87925           35.7797E+03 
                1.87999           37.8509E+03 
                1.8811            40.6563E+03 
                1.88152           41.7385E+03 
                1.88215           42.9648E+03 
                1.88309           44.0553E+03 
                1.88449           44.1971E+03 
                1.88661           43.7277E+03 
                1.88977           41.6188E+03 
                1.89294           36.1014E+03 
                1.89611           29.4379E+03 
                1.90086           20.4083E+03 
                1.90799           10.4556E+03 
                1.91868            5.07324E+03
                1.93471           14.7387E+03 
                1.95877           34.4821E+03 
                1.98282           37.8353E+03 
                2.                33.2717E+03 
                2.                33.2717E+03 
                2.025              9.37115E+03
                2.05               8.06996E+03
                2.075              7.82799E+03
                2.1                7.66347E+03
                2.1375             7.43132E+03
                2.19375            7.09248E+03
                2.27813            6.60272E+03
                2.37812            6.05124E+03
                2.47813            5.53176E+03
                2.57813            5.04492E+03
                2.67812            4.59181E+03
                2.77813            4.17411E+03
                2.87812            3.79438E+03
                2.97813            3.45607E+03
                3.                 3.38753E+03




