
                             COORD:COOR3 PI: P
                  X           ART-1-1 N: 14_1 

                0.                 3.         
              500.E-03             3.02525    
                1.                 3.0485     
                1.                 3.0485     
                1.25               2.99279    
                1.5                2.9371     
                1.75               2.88173    
                2.                 2.82704    
                2.25               2.77343    
                2.5                2.72131    
                2.75               2.67104    
                3.                 2.62291    
                3.25               2.57717    
                3.5                2.53397    
                3.75               2.49341    
                4.                 2.45552    




