
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             2828centroid  

                0.                15.0442E-12 
              100.E-03             6.76211    
              200.E-03            27.743      
              300.E-03            63.4325     
              400.E-03           112.414      
              500.E-03           168.166      
              600.E-03           215.018      
              700.E-03           237.725      
              800.E-03           238.247      
              900.E-03           227.234      
                1.               279.354      
                1.               279.354      
                1.1              198.311      
                1.2              147.409      
                1.3              113.278      
                1.4               88.7096     
                1.5               71.6169     
                1.6               62.4734     
                1.7               66.1298     
                1.8               86.7228     
                1.9              106.243      
                2.               115.007      
                2.               115.007      
                2.1              114.308      
                2.2              113.487      
                2.3              112.737      
                2.4              111.917      
                2.5              110.854      
                2.6              109.377      
                2.7              107.33       
                2.8              104.57       
                2.9              100.955      
                3.                96.3578     
                3.                96.3578     
                3.1               62.3276     
                3.2               42.7825     
                3.3               34.7295     
                3.4               33.7553     
                3.5               38.1234     
                3.6               49.617      
                3.7               78.1706     
                3.8              130.378      
                3.9              176.269      
                4.               195.409      
                4.               195.409      
                4.1              202.508      
                4.2              211.03       
                4.3              219.736      
                4.4              228.272      
                4.5              236.487      
                4.6              244.278      
                4.7              251.513      
                4.8              258.019      
                4.9              263.567      
                5.               267.866      




