
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             3006centroid  

                0.                 0.         
              100.E-03             6.76188    
              200.E-03            31.345      
              300.E-03            77.7086     
              400.E-03           149.599      
              500.E-03           246.777      
              600.E-03           351.486      
              700.E-03           431.312      
              800.E-03           477.022      
              900.E-03           497.104      
                1.               539.734      
                1.               539.734      
                1.1              343.913      
                1.2              210.527      
                1.3              114.898      
                1.4               51.9806     
                1.5               20.3982     
                1.6               17.8257     
                1.7               21.9882     
                1.8               13.8526     
                1.9                8.4193     
                2.                 6.49912    
                2.                 6.49912    
                2.1                6.23029    
                2.2                5.98861    
                2.3                5.77143    
                2.4                5.52248    
                2.5                5.42543    
                2.6                5.35547    
                2.7                5.29338    
                2.8                5.22595    
                2.9                5.14522    
                3.                 5.05278    
                3.                 5.05278    
                3.1                9.81498    
                3.2               16.7374     
                3.3               18.4746     
                3.4               14.5083     
                3.5               11.2883     
                3.6               39.285      
                3.7              144.346      
                3.8              321.051      
                3.9              461.84       
                4.               520.606      
                4.               520.606      
                4.1              529.708      
                4.2              537.572      
                4.3              544.155      
                4.4              550.434      
                4.5              553.828      
                4.6              555.312      
                4.7              554.572      
                4.8              551.208      
                4.9              544.715      
                5.               534.489      




