
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             1181centroid  

                0.                15.0442E-12 
              100.E-03             6.43547    
              200.E-03            29.0127     
              300.E-03            69.9845     
              400.E-03           130.057      
              500.E-03           201.628      
              600.E-03           265.26       
              700.E-03           312.84       
              800.E-03           349.446      
              900.E-03           379.589      
                1.               508.037      
                1.               508.037      
                1.1              511.783      
                1.2              508.873      
                1.3              494.417      
                1.4              458.751      
                1.5              374.891      
                1.6              109.542      
                1.7               99.2779     
                1.8               97.4332     
                1.9               93.9454     
                2.                90.3564     
                2.                90.3564     
                2.1               89.9517     
                2.2               89.7199     
                2.3               89.7971     
                2.4               90.1984     
                2.5               90.8956     
                2.6               91.8627     
                2.7               93.078      
                2.8               94.5247     
                2.9               96.1902     
                3.                98.0651     
                3.                98.0651     
                3.1              212.491      
                3.2              272.83       
                3.3              328.866      
                3.4              378.46       
                3.5              414.48       
                3.6              433.129      
                3.7              435.415      
                3.8              426.441      
                3.9              412.426      
                4.               397.485      
                4.               397.485      
                4.1              402.289      
                4.2              408.891      
                4.3              416.394      
                4.4              424.516      
                4.5              433.127      
                4.6              442.166      
                4.7              451.601      
                4.8              461.415      
                4.9              471.603      
                5.               482.167      




