
                             FromFieldDataUVAR
                             M18atpartinstance
                             PART-1-1element10
                  X             2289centroid  

                0.                 0.         
              100.E-03             1.98852    
              200.E-03             7.94904    
              300.E-03            17.8744     
              400.E-03            31.7589     
              500.E-03            49.6033     
              600.E-03            71.4283     
              700.E-03            97.2652     
              800.E-03           127.12       
              900.E-03           160.979      
                1.               196.583      
                1.               196.583      
                1.1              199.192      
                1.2              193.681      
                1.3              178.391      
                1.4              150.615      
                1.5              107.265      
                1.6              125.27       
                1.7               90.5897     
                1.8               61.6119     
                1.9               39.1673     
                2.                19.8049     
                2.                19.8049     
                2.1               37.5696     
                2.2               55.1795     
                2.3               72.705      
                2.4               90.2243     
                2.5              107.807      
                2.6              125.51       
                2.7              143.384      
                2.8              161.474      
                2.9              179.82       
                3.               198.462      
                3.               198.462      
                3.1              212.598      
                3.2              226.887      
                3.3              234.888      
                3.4              232.68       
                3.5              218.669      
                3.6              194.6        
                3.7              164.215      
                3.8              131.782      
                3.9              101.332      
                4.                74.9945     
                4.                74.9945     
                4.1               87.179      
                4.2               99.2965     
                4.3              111.389      
                4.4              123.51       
                4.5              135.704      
                4.6              148.005      
                4.7              160.438      
                4.8              173.023      
                4.9              185.777      
                5.               198.719      




