
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             5563centroid  

                0.               794.591E-15  
              100.E-03           463.769E-03  
              200.E-03             3.37522    
              300.E-03            11.2405     
              400.E-03            26.5726     
              500.E-03            50.7021     
              600.E-03            82.6073     
              700.E-03           119.666      
              800.E-03           160.057      
              900.E-03           203.133      
                1.               212.12       
                1.               212.12       
                1.00625          192.068      
                1.0125           164.001      
                1.01875          153.319      
                1.025            148.912      
                1.03437          145.744      
                1.04844          143.106      
                1.06953          142.583      
                1.07151          142.998      
                1.07225          143.239      
                1.07336          143.842      
                1.07378          144.129      
                1.07441          144.797      
                1.07464          145.099      
                1.07499          145.754      
                1.07512          146.036      
                1.07532          146.595      
                1.07562          148.235      
                1.07573          149.037      
                1.07577          149.37       
                1.07583          149.979      
                1.07593          151.452      
                1.07596          152.093      
                1.07602          153.482      
                1.07604          154.062      
                1.07607          156.299      
                1.0761           160.909      
                1.07613          165.727      
                1.07617          170.965      
                1.07624          174.961      
                1.07634          176.965      
                1.07649          177.402      
                1.07671          177.062      
                1.07705          176.433      
                1.07756          175.678      
                1.07832          174.857      
                1.07947          174.013      
                1.08118          173.146      
                1.08375          172.169      
                1.08761          170.912      
                1.09339          169.16       
                1.10207          166.668      
                1.11509          163.159      
                1.13462          158.324      
                1.16391          151.845      
                1.20785          143.455      
                1.27376          133.012      
                1.37262          120.565      
                1.47262          110.527      
                1.57262          102.16       
                1.67262           94.8627     
                1.77262           88.0553     
                1.87262           80.0963     
                1.87887           79.368      
                1.88824           77.8837     
                1.89176           77.0978     
                1.89308           76.7388     
                1.89505           75.9428     
                1.8958            75.5699     
                1.89691           74.6025     
                1.89733           74.1249     
                1.89795           72.5401     
                1.89889           57.9949     
                1.89983           57.1489     
                1.90077           57.1375     
                1.90217           57.1755     
                1.90429           57.2213     
                1.90745           57.285      
                1.91221           57.3792     
                1.91933           57.5198     
                1.93002           57.7294     
                1.94606           58.0406     
                1.97011           58.5005     
                2.                59.0612     
                2.                59.0612     
                2.25              55.6818     
                2.5               50.9649     
                2.75              45.0289     
                3.                37.7496     
                3.                37.7496     
                3.00781           20.305      
                3.01563           35.2748     
                3.02344           43.9692     
                3.03125           48.7916     
                3.04297           53.9651     
                3.06055           60.8583     
                3.08691          171.816      
                3.09351          171.841      
                3.1001           171.835      
                3.10257          171.445      
                3.1035           171.2        
                3.10489          170.585      
                3.10541          170.269      
                3.10619          169.571      
                3.10648          169.238      
                3.10692          168.573      
                3.10758          166.446      
                3.10783          165.146      
                3.10792          164.559      
                3.10806          162.455      
                3.10812          161.425      
                3.10819          158.774      
                3.10831          147.294      
                3.10836          142.21       
                3.10842          131.212      
                3.10845          126.93       
                3.10848          120.271      
                3.10854          112.21       
                3.10862          104.612      
                3.10875           98.1074     
                3.10894           92.052      
                3.10922           85.9858     
                3.10964           80.0497     
                3.11028           74.7838     
                3.11123           70.7816     
                3.11266           68.3721     
                3.1148            67.4728     
                3.11802           67.7221     
                3.12284           68.7885     
                3.13007           70.5833     
                3.14092           73.2674     
                3.15719           77.1864     
                3.1816            82.8366     
                3.21822           90.8746     
                3.27314          102.124      
                3.35552          117.571      
                3.4791           138.334      
                3.6041           157.161      
                3.7291           174.418      
                3.8541           191.104      
                3.88535          196.016      
                3.88828          196.573      
                3.89267          197.712      
                3.89432          198.291      
                3.89494          198.546      
                3.89586          199.112      
                3.89621          199.366      
                3.89673          199.958      
                3.89693          200.224      
                3.89722          200.822      
                3.89766          206.905      
                3.8981           210.558      
                3.89854          211.688      
                3.8992           212.088      
                3.90019          212.239      
                3.90168          212.336      
                3.9039           212.452      
                3.90725          212.62       
                3.91226          212.871      
                3.91977          213.248      
                3.93105          213.814      
                3.94796          214.664      
                3.97333          215.939      
                4.               217.28       
                4.               217.28       
                4.25             211.516      
                4.5              204.376      
                4.75             200.177      
                5.               205.546      




