
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             2788centroid  

                0.               794.591E-15  
              100.E-03           465.665E-03  
              200.E-03             1.0653     
              300.E-03             1.42318    
              400.E-03             1.70611    
              500.E-03             2.29031    
              600.E-03             3.35064    
              700.E-03             4.80252    
              800.E-03             6.53883    
              900.E-03             8.53365    
                1.                12.1221     
                1.                12.1221     
                1.00625           30.9691     
                1.0125            47.8472     
                1.01875           56.7793     
                1.025             61.7326     
                1.03437           66.7183     
                1.04844           73.3387     
                1.06953           84.7445     
                1.07151           86.0274     
                1.07225           86.5469     
                1.07336           87.4603     
                1.07378           87.8288     
                1.07441           88.4727     
                1.07464           88.7307     
                1.07499           89.1724     
                1.07512           89.3474     
                1.07532           89.6379     
                1.07562           90.2046     
                1.07573           90.4436     
                1.07577           90.5375     
                1.07583           90.6905     
                1.07593           90.9687     
                1.07596           91.082      
                1.07602           91.2997     
                1.07604           91.391      
                1.07607           91.5425     
                1.0761            91.6658     
                1.07613           91.7559     
                1.07617           91.8376     
                1.07624           91.8961     
                1.07634           91.9456     
                1.07649           92.0526     
                1.07671           92.2999     
                1.07705           92.7139     
                1.07756           93.253      
                1.07832           93.8553     
                1.07947           94.4776     
                1.08118           95.1227     
                1.08375           95.8589     
                1.08761           96.8164     
                1.09339           98.1675     
                1.10207          100.12       
                1.11509          102.93       
                1.13462          106.929      
                1.16391          112.54       
                1.20785          120.302      
                1.27376          130.908      
                1.37262          145.296      
                1.47262          158.684      
                1.57262          171.354      
                1.67262          183.633      
                1.77262          195.876      
                1.87262          209.205      
                1.87887          210.2        
                1.88824          211.964      
                1.89176          212.771      
                1.89308          213.113      
                1.89505          213.785      
                1.8958           214.078      
                1.89691          214.746      
                1.89733          215.053      
                1.89795          215.921      
                1.89889          224.379      
                1.89983          227.956      
                1.90077          229.177      
                1.90217          229.666      
                1.90429          229.918      
                1.90745          230.183      
                1.91221          230.563      
                1.91933          231.129      
                1.93002          231.978      
                1.94606          233.25       
                1.97011          235.153      
                2.               237.511      
                2.               237.511      
                2.25             231.058      
                2.5              219.867      
                2.75             205.119      
                3.               186.779      
                3.               186.779      
                3.00781           81.6343     
                3.01563           53.7852     
                3.02344           45.0591     
                3.03125           40.9718     
                3.04297           36.9483     
                3.06055           31.8972     
                3.08691           17.958      
                3.09351           16.8375     
                3.1001            15.8009     
                3.10257           15.3835     
                3.1035            15.219      
                3.10489           14.9308     
                3.10541           14.8166     
                3.10619           14.6167     
                3.10648           14.538      
                3.10692           14.404      
                3.10758           14.1206     
                3.10783           14.0029     
                3.10792           13.9573     
                3.10806           13.8925     
                3.10812           13.8697     
                3.10819           13.8442     
                3.10831           13.8978     
                3.10836           13.9375     
                3.10842           14.0652     
                3.10845           14.1282     
                3.10848           14.2561     
                3.10854           14.497      
                3.10862           14.9253     
                3.10875           15.6087     
                3.10894           16.5578     
                3.10922           17.7396     
                3.10964           19.0919     
                3.11028           20.4734     
                3.11123           21.6553     
                3.11266           22.4368     
                3.1148            22.7693     
                3.11802           22.747      
                3.12284           22.4884     
                3.13007           22.0475     
                3.14092           21.4126     
                3.15719           20.5415     
                3.1816            19.3926     
                3.21822           17.9506     
                3.27314           16.2572     
                3.35552           14.4463     
                3.4791            12.7845     
                3.6041            11.9312     
                3.7291            11.6456     
                3.8541            11.799      
                3.88535           11.9093     
                3.88828           11.9223     
                3.89267           11.9457     
                3.89432           11.9564     
                3.89494           11.9609     
                3.89586           11.9696     
                3.89621           11.9733     
                3.89673           11.9811     
                3.89693           11.9845     
                3.89722           11.9917     
                3.89766           12.0677     
                3.8981            12.1487     
                3.89854           12.2059     
                3.8992            12.248      
                3.90019           12.2713     
                3.90168           12.2849     
                3.9039            12.298      
                3.90725           12.3161     
                3.91226           12.3432     
                3.91977           12.3841     
                3.93105           12.4463     
                3.94796           12.5416     
                3.97333           12.6887     
                4.                12.8487     
                4.                12.8487     
                4.25              12.2158     
                4.5               11.4072     
                4.75              10.7404     
                5.                10.5455     




