
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             6369centroid  

                0.               794.591E-15  
              100.E-03           465.79E-03   
              200.E-03             2.37331    
              300.E-03             6.90081    
              400.E-03            15.3822     
              500.E-03            28.5505     
              600.E-03            45.8726     
              700.E-03            66.2099     
              800.E-03            88.7793     
              900.E-03           113.286      
                1.               104.707      
                1.               104.707      
                1.00625           66.9989     
                1.0125            57.3411     
                1.01875           54.8123     
                1.025             53.9109     
                1.03437           53.3162     
                1.04844           52.9488     
                1.06953           53.3042     
                1.07151           53.4244     
                1.07225           53.4798     
                1.07336           53.5904     
                1.07378           53.6389     
                1.07441           53.734      
                1.07464           53.7747     
                1.07499           53.8521     
                1.07512           53.8844     
                1.07532           53.9428     
                1.07562           54.085      
                1.07573           54.152      
                1.07577           54.1796     
                1.07583           54.2281     
                1.07593           54.3357     
                1.07596           54.3841     
                1.07602           54.5066     
                1.07604           54.5718     
                1.07607           54.7933     
                1.0761            55.1048     
                1.07613           55.4237     
                1.07617           55.8565     
                1.07624           56.3892     
                1.07634           56.9619     
                1.07649           57.4698     
                1.07671           57.8274     
                1.07705           58.0306     
                1.07756           58.1366     
                1.07832           58.2037     
                1.07947           58.2633     
                1.08118           58.329      
                1.08375           58.4117     
                1.08761           58.5278     
                1.09339           58.7014     
                1.10207           58.9681     
                1.11509           59.3829     
                1.13462           60.0319     
                1.16391           61.051      
                1.20785           62.6506     
                1.27376           65.1511     
                1.37262           69.0382     
                1.47262           73.08       
                1.57262           77.2124     
                1.67262           81.4426     
                1.77262           85.8133     
                1.87262           90.5611     
                1.87887           90.8988     
                1.88824           91.4685     
                1.89176           91.7152     
                1.89308           91.8164     
                1.89505           92.0039     
                1.8958            92.083      
                1.89691           92.2511     
                1.89733           92.3253     
                1.89795           92.5179     
                1.89889           92.8125     
                1.89983           93.059      
                1.90077           93.2125     
                1.90217           93.3144     
                1.90429           93.4061     
                1.90745           93.5273     
                1.91221           93.7063     
                1.91933           93.9744     
                1.93002           94.3764     
                1.94606           94.9791     
                1.97011           95.8824     
                2.                97.0037     
                2.                97.0037     
                2.25              92.5921     
                2.5               85.8273     
                2.75              77.6703     
                3.                68.2271     
                3.                68.2271     
                3.00781           43.9931     
                3.01563           47.396      
                3.02344           50.4901     
                3.03125           52.4386     
                3.04297           54.7555     
                3.06055           58.378      
                3.08691           82.729      
                3.09351           85.0663     
                3.1001            87.5596     
                3.10257           88.6694     
                3.1035            89.1277     
                3.10489           89.964      
                3.10541           90.3083     
                3.10619           90.9342     
                3.10648           91.1886     
                3.10692           91.6367     
                3.10758           92.6642     
                3.10783           93.1252     
                3.10792           93.3108     
                3.10806           93.5673     
                3.10812           93.6562     
                3.10819           93.7349     
                3.10831           93.2829     
                3.10836           93.0021     
                3.10842           92.3078     
                3.10845           92.0203     
                3.10848           91.5473     
                3.10854           90.6729     
                3.10862           89.0547     
                3.10875           86.5821     
                3.10894           83.4896     
                3.10922           80.1219     
                3.10964           76.789      
                3.11028           73.8273     
                3.11123           71.5716     
                3.11266           70.2016     
                3.1148            69.6601     
                3.11802           69.7349     
                3.12284           70.2316     
                3.13007           71.0875     
                3.14092           72.3735     
                3.15719           74.2572     
                3.1816            76.987      
                3.21822           80.906      
                3.27314           86.4807     
                3.35552           94.3574     
                3.4791           105.481      
                3.6041           116.279      
                3.7291           126.988      
                3.8541           138.44       
                3.88535          142.157      
                3.88828          142.592      
                3.89267          143.505      
                3.89432          143.973      
                3.89494          144.179      
                3.89586          144.636      
                3.89621          144.841      
                3.89673          145.312      
                3.89693          145.523      
                3.89722          145.989      
                3.89766          150.192      
                3.8981           152.525      
                3.89854          153.601      
                3.8992           154.176      
                3.90019          154.438      
                3.90168          154.579      
                3.9039           154.713      
                3.90725          154.898      
                3.91226          155.172      
                3.91977          155.583      
                3.93105          156.199      
                3.94796          157.121      
                3.97333          158.502      
                4.               159.95       
                4.               159.95       
                4.25             154.259      
                4.5              145.179      
                4.75             133.932      
                5.               120.71       




