
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             7160centroid  

                0.               794.591E-15  
              100.E-03           465.184E-03  
              200.E-03             3.81188    
              300.E-03            13.4496     
              400.E-03            32.832      
              500.E-03            63.3611     
              600.E-03           103.209      
              700.E-03           149.492      
              800.E-03           200.449      
              900.E-03           255.461      
                1.               199.726      
                1.               199.726      
                1.00625           76.0872     
                1.0125            43.6831     
                1.01875           34.4        
                1.025             30.6926     
                1.03437           27.8457     
                1.04844           25.3475     
                1.06953           24.3646     
                1.07151           24.5682     
                1.07225           24.6843     
                1.07336           24.9588     
                1.07378           25.0711     
                1.07441           25.3955     
                1.07464           25.5321     
                1.07499           25.8179     
                1.07512           25.945      
                1.07532           26.1892     
                1.07562           26.8899     
                1.07573           27.2489     
                1.07577           27.4015     
                1.07583           27.6869     
                1.07593           28.3888     
                1.07596           28.7552     
                1.07602           29.7701     
                1.07604           30.3103     
                1.07607           31.7999     
                1.0761            33.4954     
                1.07613           35.0338     
                1.07617           36.8218     
                1.07624           38.5404     
                1.07634           39.8347     
                1.07649           40.5582     
                1.07671           40.8242     
                1.07705           40.8375     
                1.07756           40.7433     
                1.07832           40.6175     
                1.07947           40.4884     
                1.08118           40.3624     
                1.08375           40.2302     
                1.08761           40.0736     
                1.09339           39.8597     
                1.10207           39.6362     
                1.11509           39.377      
                1.13462           39.1723     
                1.16391           39.1805     
                1.20785           39.6915     
                1.27376           41.1793     
                1.37262           44.3604     
                1.47262           48.2445     
                1.57262           52.5348     
                1.67262           57.106      
                1.77262           61.9116     
                1.87262           67.0624     
                1.87887           67.4174     
                1.88824           67.9896     
                1.89176           68.2277     
                1.89308           68.3232     
                1.89505           68.492      
                1.8958            68.562      
                1.89691           68.704      
                1.89733           68.7663     
                1.89795           68.9269     
                1.89889           69.8686     
                1.89983           70.2692     
                1.90077           70.3952     
                1.90217           70.4773     
                1.90429           70.5749     
                1.90745           70.7189     
                1.91221           70.9347     
                1.91933           71.2584     
                1.93002           71.7439     
                1.94606           72.4725     
                1.97011           73.5659     
                2.                74.925      
                2.                74.925      
                2.25              67.2123     
                2.5               57.4189     
                2.75              47.2779     
                3.                37.3741     
                3.                37.3741     
                3.00781           46.8762     
                3.01563           72.0468     
                3.02344           85.0413     
                3.03125           92.5395     
                3.04297          101.106      
                3.06055          113.741      
                3.08691          173.802      
                3.09351          180.107      
                3.1001           186.605      
                3.10257          189.397      
                3.1035           190.529      
                3.10489          192.55       
                3.10541          193.367      
                3.10619          194.821      
                3.10648          195.371      
                3.10692          196.402      
                3.10758          198.561      
                3.10783          199.46       
                3.10792          199.807      
                3.10806          200.268      
                3.10812          200.424      
                3.10819          200.564      
                3.10831          199.797      
                3.10836          199.313      
                3.10842          197.513      
                3.10845          196.607      
                3.10848          194.625      
                3.10854          191.222      
                3.10862          186.359      
                3.10875          180.002      
                3.10894          172.453      
                3.10922          164.344      
                3.10964          156.354      
                3.11028          149.345      
                3.11123          143.959      
                3.11266          140.693      
                3.1148           139.478      
                3.11802          139.842      
                3.12284          141.334      
                3.13007          143.831      
                3.14092          147.545      
                3.15719          153.223      
                3.1816           160.645      
                3.21822          171.526      
                3.27314          186.659      
                3.35552          207.475      
                3.4791           235.667      
                3.6041           262.028      
                3.7291           286.915      
                3.8541           311.906      
                3.88535          319.236      
                3.88828          320.072      
                3.89267          321.672      
                3.89432          322.455      
                3.89494          322.793      
                3.89586          323.517      
                3.89621          323.836      
                3.89673          324.55       
                3.89693          324.865      
                3.89722          325.547      
                3.89766          331.535      
                3.8981           335.669      
                3.89854          337.422      
                3.8992           338.211      
                3.90019          338.552      
                3.90168          338.796      
                3.9039           339.098      
                3.90725          339.539      
                3.91226          340.199      
                3.91977          341.189      
                3.93105          342.665      
                3.94796          344.89       
                3.97333          348.18       
                4.               351.634      
                4.               351.634      
                4.25             333.62       
                4.5              306.877      
                4.75             274.889      
                5.               235.893      




