
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             5393centroid  

                0.               794.591E-15  
              100.E-03           462.923E-03  
              200.E-03             1.391      
              300.E-03             2.34073    
              400.E-03             3.04831    
              500.E-03             3.54074    
              600.E-03             4.35361    
              700.E-03             6.07181    
              800.E-03             8.7362     
              900.E-03            12.1834     
                1.                25.7663     
                1.                25.7663     
                1.00625           83.0899     
                1.0125           101.344      
                1.01875          104.205      
                1.025            104.091      
                1.03437          102.705      
                1.04844           99.2582     
                1.06953           89.3557     
                1.07151           87.7553     
                1.07225           87.0339     
                1.07336           85.5899     
                1.07378           84.9546     
                1.07441           83.6658     
                1.07464           83.1044     
                1.07499           81.9786     
                1.07512           81.4989     
                1.07532           80.5827     
                1.07562           78.0206     
                1.07573           76.7068     
                1.07577           76.1475     
                1.07583           75.0651     
                1.07593           72.1253     
                1.07596           70.7337     
                1.07602           65.8036     
                1.07604           63.5234     
                1.07607           60.1549     
                1.0761            59.4053     
                1.07613           59.5967     
                1.07617           60.8279     
                1.07624           62.9233     
                1.07634           65.1074     
                1.07649           66.7112     
                1.07671           67.601      
                1.07705           68.0249     
                1.07756           68.2569     
                1.07832           68.4394     
                1.07947           68.6167     
                1.08118           68.8036     
                1.08375           69.0222     
                1.08761           69.306      
                1.09339           69.6962     
                1.10207           70.2322     
                1.11509           70.946      
                1.13462           71.8477     
                1.16391           72.902      
                1.20785           73.991      
                1.27376           74.873      
                1.37262           75.1346     
                1.47262           74.5907     
                1.57262           73.5127     
                1.67262           72.0319     
                1.77262           70.1488     
                1.87262           67.3319     
                1.87887           67.0481     
                1.88824           66.4542     
                1.89176           66.1376     
                1.89308           65.9934     
                1.89505           65.673      
                1.8958            65.5251     
                1.89691           65.147      
                1.89733           64.9664     
                1.89795           64.3969     
                1.89889           55.7134     
                1.89983           52.9857     
                1.90077           52.7002     
                1.90217           52.6911     
                1.90429           52.7102     
                1.90745           52.7371     
                1.91221           52.7767     
                1.91933           52.8364     
                1.93002           52.9264     
                1.94606           53.0629     
                1.97011           53.2707     
                2.                53.534      
                2.                53.534      
                2.25              52.8035     
                2.5               53.6803     
                2.75              59.1733     
                3.                80.5306     
                3.                80.5306     
                3.00781          161.62       
                3.01563          161.487      
                3.02344          158.251      
                3.03125          156.251      
                3.04297          153.862      
                3.06055          149.651      
                3.08691           22.9971     
                3.09351           24.9399     
                3.1001            26.3225     
                3.10257           26.8712     
                3.1035            27.0796     
                3.10489           27.4324     
                3.10541           27.5645     
                3.10619           27.7744     
                3.10648           27.8532     
                3.10692           27.962      
                3.10758           28.0942     
                3.10783           28.1203     
                3.10792           28.1206     
                3.10806           28.5074     
                3.10812           28.7345     
                3.10819           29.5491     
                3.10831           35.3902     
                3.10836           38.8397     
                3.10842           45.6483     
                3.10845           48.0437     
                3.10848           51.0298     
                3.10854           58.098      
                3.10862           70.3313     
                3.10875           83.6766     
                3.10894           95.1327     
                3.10922          104.318      
                3.10964          111.821      
                3.11028          117.874      
                3.11123          122.284      
                3.11266          124.874      
                3.1148           125.789      
                3.11802          125.43       
                3.12284          124.151      
                3.13007          122.041      
                3.14092          118.92       
                3.15719          114.431      
                3.1816           108.094      
                3.21822           99.3486     
                3.27314           87.6339     
                3.35552           72.5394     
                3.4791            54.0951     
                3.6041            39.2841     
                3.7291            27.392      
                3.8541            17.3969     
                3.88535           14.5924     
                3.88828           14.2681     
                3.89267           13.5665     
                3.89432           13.1992     
                3.89494           13.0365     
                3.89586           12.6662     
                3.89621           12.5013     
                3.89673           12.1156     
                3.89693           11.9475     
                3.89722           11.5761     
                3.89766           10.6804     
                3.8981            11.2364     
                3.89854           11.3565     
                3.8992            11.3911     
                3.90019           11.3992     
                3.90168           11.3926     
                3.9039            11.376      
                3.90725           11.3497     
                3.91226           11.3101     
                3.91977           11.2512     
                3.93105           11.164      
                3.94796           11.0355     
                3.97333           10.8484     
                4.                10.6591     
                4.                10.6591     
                4.25              12.8851     
                4.5               15.9576     
                4.75              19.3832     
                5.                24.5147     




