
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             5068centroid  

                0.               794.591E-15  
              100.E-03           463.112E-03  
              200.E-03             1.31645    
              300.E-03             3.26283    
              400.E-03             7.41895    
              500.E-03            14.1996     
              600.E-03            23.2068     
              700.E-03            33.8291     
              800.E-03            45.607      
              900.E-03            58.3513     
                1.                59.0853     
                1.                59.0853     
                1.00625          106.5        
                1.0125           132.122      
                1.01875          140.266      
                1.025            143.375      
                1.03437          145.474      
                1.04844          146.754      
                1.06953          144.068      
                1.07151          143.139      
                1.07225          142.668      
                1.07336          141.612      
                1.07378          141.123      
                1.07441          140.057      
                1.07464          139.581      
                1.07499          138.585      
                1.07512          138.156      
                1.07532          137.323      
                1.07562          134.94       
                1.07573          133.743      
                1.07577          133.239      
                1.07583          132.296      
                1.07593          129.903      
                1.07596          128.819      
                1.07602          125.802      
                1.07604          124.553      
                1.07607          123.562      
                1.0761           123.525      
                1.07613          123.1        
                1.07617          121.791      
                1.07624          120.025      
                1.07634          118.578      
                1.07649          117.834      
                1.07671          117.702      
                1.07705          117.943      
                1.07756          118.376      
                1.07832          118.908      
                1.07947          119.498      
                1.08118          120.158      
                1.08375          120.964      
                1.08761          122.049      
                1.09339          123.592      
                1.10207          125.807      
                1.11509          128.954      
                1.13462          133.338      
                1.16391          139.298      
                1.20785          147.146      
                1.27376          157.087      
                1.37262          169.065      
                1.47262          178.61       
                1.57262          186.186      
                1.67262          192.09       
                1.77262          196.322      
                1.87262          197.768      
                1.87887          197.598      
                1.88824          197.01       
                1.89176          196.587      
                1.89308          196.37       
                1.89505          195.825      
                1.8958           195.551      
                1.89691          194.772      
                1.89733          194.364      
                1.89795          192.894      
                1.89889          169.671      
                1.89983          167.009      
                1.90077          166.77       
                1.90217          166.817      
                1.90429          166.93       
                1.90745          167.099      
                1.91221          167.353      
                1.91933          167.732      
                1.93002          168.298      
                1.94606          169.143      
                1.97011          170.4        
                2.               171.945      
                2.               171.945      
                2.25             162.021      
                2.5              149.685      
                2.75             136.448      
                3.               124.225      
                3.               124.225      
                3.00781           91.997      
                3.01563           90.1528     
                3.02344           91.01       
                3.03125           92.05       
                3.04297           93.5962     
                3.06055           95.9358     
                3.08691           59.77       
                3.09351           61.4584     
                3.1001            62.5484     
                3.10257           62.8269     
                3.1035            62.8978     
                3.10489           62.9422     
                3.10541           62.93       
                3.10619           62.8414     
                3.10648           62.7854     
                3.10692           62.638      
                3.10758           62.0194     
                3.10783           61.6108     
                3.10792           61.4179     
                3.10806           61.0938     
                3.10812           60.9701     
                3.10819           60.8345     
                3.10831           61.6124     
                3.10836           62.2932     
                3.10842           63.0705     
                3.10845           63.3602     
                3.10848           63.9249     
                3.10854           66.7323     
                3.10862           72.1815     
                3.10875           78.0993     
                3.10894           83.0777     
                3.10922           87.3366     
                3.10964           91.2766     
                3.11028           94.8312     
                3.11123           97.648      
                3.11266           99.4362     
                3.1148           100.197      
                3.11802          100.182      
                3.12284           99.6638     
                3.13007           98.7634     
                3.14092           97.4582     
                3.15719           95.6568     
                3.1816            93.267      
                3.21822           90.2565     
                3.27314           86.734      
                3.35552           83.0443     
                3.4791            79.8522     
                3.6041            78.417      
                3.7291            78.1001     
                3.8541            78.3574     
                3.88535           78.2707     
                3.88828           78.2364     
                3.89267           78.1018     
                3.89432           78.0075     
                3.89494           77.9611     
                3.89586           77.8366     
                3.89621           77.7775     
                3.89673           77.623      
                3.89693           77.5524     
                3.89722           77.3822     
                3.89766           76.8986     
                3.8981            77.8835     
                3.89854           78.3378     
                3.8992            78.5925     
                3.90019           78.7206     
                3.90168           78.7925     
                3.9039            78.8602     
                3.90725           78.9526     
                3.91226           79.0897     
                3.91977           79.2949     
                3.93105           79.6017     
                3.94796           80.0602     
                3.97333           80.7437     
                4.                81.457      
                4.                81.457      
                4.25              77.2385     
                4.5               72.0554     
                4.75              66.2997     
                5.                61.8826     




