
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             3345centroid  

                0.               794.591E-15  
              100.E-03           465.045E-03  
              200.E-03             4.60665    
              300.E-03            17.3249     
              400.E-03            43.9539     
              500.E-03            86.9686     
              600.E-03           143.431      
              700.E-03           208.881      
              800.E-03           280.655      
              900.E-03           357.825      
                1.               283.727      
                1.               283.727      
                1.00625          116.589      
                1.0125            64.5259     
                1.01875           46.7935     
                1.025             38.6388     
                1.03437           31.3519     
                1.04844           23.1495     
                1.06953           12.7621     
                1.07151           11.8751     
                1.07225           11.5307     
                1.07336           10.9436     
                1.07378           10.7165     
                1.07441           10.329      
                1.07464           10.1799     
                1.07499            9.92978    
                1.07512            9.83454    
                1.07532            9.68024    
                1.07562            9.40054    
                1.07573            9.30167    
                1.07577            9.26698    
                1.07583            9.21819    
                1.07593            9.17538    
                1.07596            9.17799    
                1.07602            9.31591    
                1.07604            9.43807    
                1.07607            9.9381     
                1.0761            10.6086     
                1.07613           11.2922     
                1.07617           12.1543     
                1.07624           13.0425     
                1.07634           13.7589     
                1.07649           14.1991     
                1.07671           14.3922     
                1.07705           14.4297     
                1.07756           14.3951     
                1.07832           14.3391     
                1.07947           14.2847     
                1.08118           14.2389     
                1.08375           14.2012     
                1.08761           14.1705     
                1.09339           14.155      
                1.10207           14.1841     
                1.11509           14.3277     
                1.13462           14.728      
                1.16391           15.6524     
                1.20785           17.5673     
                1.27376           21.2411     
                1.37262           27.8927     
                1.47262           35.5226     
                1.57262           43.7964     
                1.67262           52.6026     
                1.77262           61.9403     
                1.87262           72.1737     
                1.87887           72.8931     
                1.88824           74.0837     
                1.89176           74.59       
                1.89308           74.7957     
                1.89505           75.169      
                1.8958            75.3256     
                1.89691           75.6533     
                1.89733           75.7986     
                1.89795           76.1815     
                1.89889           78.7022     
                1.89983           79.7427     
                1.90077           80.1059     
                1.90217           80.3076     
                1.90429           80.5059     
                1.90745           80.7824     
                1.91221           81.1945     
                1.91933           81.813      
                1.93002           82.7424     
                1.94606           84.14       
                1.97011           86.2445     
                2.                88.8726     
                2.                88.8726     
                2.25              75.8431     
                2.5               58.828      
                2.75              41.0831     
                3.                23.6721     
                3.                23.6721     
                3.00781           18.4184     
                3.01563           49.313      
                3.02344           67.6939     
                3.03125           79.2262     
                3.04297           93.4249     
                3.06055          116.879      
                3.08691          166.769      
                3.09351          179.136      
                3.1001           193.066      
                3.10257          199.604      
                3.1035           202.382      
                3.10489          207.62       
                3.10541          209.836      
                3.10619          214.001      
                3.10648          215.738      
                3.10692          218.893      
                3.10758          226.763      
                3.10783          230.601      
                3.10792          232.206      
                3.10806          235.216      
                3.10812          236.453      
                3.10819          238.651      
                3.10831          243.713      
                3.10836          245.964      
                3.10842          251.222      
                3.10845          253.42       
                3.10848          256.592      
                3.10854          259.932      
                3.10862          262.042      
                3.10875          260.753      
                3.10894          254.926      
                3.10922          245.575      
                3.10964          234.854      
                3.11028          224.807      
                3.11123          216.975      
                3.11266          212.184      
                3.1148           210.377      
                3.11802          210.869      
                3.12284          212.994      
                3.13007          216.561      
                3.14092          221.866      
                3.15719          229.554      
                3.1816           240.54       
                3.21822          256.017      
                3.27314          277.497      
                3.35552          306.909      
                3.4791           346.807      
                3.6041           383.85       
                3.7291           418.886      
                3.8541           453.65       
                3.88535          463.519      
                3.88828          464.575      
                3.89267          466.581      
                3.89432          467.526      
                3.89494          467.926      
                3.89586          468.749      
                3.89621          469.104      
                3.89673          469.867      
                3.89693          470.196      
                3.89722          470.878      
                3.89766          476.322      
                3.8981           481.562      
                3.89854          484.295      
                3.8992           485.748      
                3.90019          486.411      
                3.90168          486.828      
                3.9039           487.296      
                3.90725          487.966      
                3.91226          488.966      
                3.91977          490.464      
                3.93105          492.706      
                3.94796          496.06       
                3.97333          501.07       
                4.               506.312      
                4.               506.312      
                4.25             481.828      
                4.5              443.863      
                4.75             397.446      
                5.               340.854      




