
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             6978centroid  

                0.               794.591E-15  
              100.E-03           465.514E-03  
              200.E-03             3.4184     
              300.E-03            11.5555     
              400.E-03            27.6542     
              500.E-03            53.1377     
              600.E-03            86.9843     
              700.E-03           127.054      
              800.E-03           171.786      
              900.E-03           220.506      
                1.               196.714      
                1.               196.714      
                1.00625           92.9896     
                1.0125            59.0026     
                1.01875           47.2722     
                1.025             41.9246     
                1.03437           37.2097     
                1.04844           31.8442     
                1.06953           24.613      
                1.07151           23.943      
                1.07225           23.6805     
                1.07336           23.233      
                1.07378           23.0571     
                1.07441           22.7586     
                1.07464           22.6417     
                1.07499           22.4472     
                1.07512           22.3717     
                1.07532           22.2495     
                1.07562           22.0288     
                1.07573           21.9412     
                1.07577           21.9077     
                1.07583           21.8557     
                1.07593           21.7748     
                1.07596           21.7452     
                1.07602           21.7122     
                1.07604           21.706      
                1.07607           21.7296     
                1.0761            21.7735     
                1.07613           21.8276     
                1.07617           21.9179     
                1.07624           22.0409     
                1.07634           22.1554     
                1.07649           22.1948     
                1.07671           22.1195     
                1.07705           21.9456     
                1.07756           21.7161     
                1.07832           21.4662     
                1.07947           21.214      
                1.08118           20.9578     
                1.08375           20.6714     
                1.08761           20.3079     
                1.09339           19.812      
                1.10207           19.1292     
                1.11509           18.2134     
                1.13462           17.0402     
                1.16391           15.632      
                1.20785           14.0986     
                1.27376           12.6852     
                1.37262           11.8319     
                1.47262           11.9529     
                1.57262           12.7431     
                1.67262           14.0374     
                1.77262           15.7614     
                1.87262           18.0047     
                1.87887           18.1801     
                1.88824           18.4844     
                1.89176           18.6206     
                1.89308           18.6775     
                1.89505           18.7861     
                1.8958            18.8329     
                1.89691           18.9366     
                1.89733           18.9838     
                1.89795           19.1155     
                1.89889           20.2571     
                1.89983           20.737      
                1.90077           20.9052     
                1.90217           20.9819     
                1.90429           21.0354     
                1.90745           21.1016     
                1.91221           21.1988     
                1.91933           21.3448     
                1.93002           21.5647     
                1.94606           21.8967     
                1.97011           22.3994     
                2.                23.0319     
                2.                23.0319     
                2.25              20.6789     
                2.5               17.3234     
                2.75              13.7422     
                3.                10.4232     
                3.                10.4232     
                3.00781           26.0793     
                3.01563           49.7462     
                3.02344           61.775      
                3.03125           68.6855     
                3.04297           76.5662     
                3.06055           88.4497     
                3.08691          135.692      
                3.09351          142.117      
                3.1001           148.924      
                3.10257          151.957      
                3.1035           153.211      
                3.10489          155.508      
                3.10541          156.455      
                3.10619          158.182      
                3.10648          158.885      
                3.10692          160.125      
                3.10758          162.99       
                3.10783          164.29       
                3.10792          164.816      
                3.10806          165.643      
                3.10812          165.954      
                3.10819          166.38       
                3.10831          166.444      
                3.10836          166.366      
                3.10842          166.054      
                3.10845          165.903      
                3.10848          165.545      
                3.10854          164.599      
                3.10862          162.511      
                3.10875          158.819      
                3.10894          153.411      
                3.10922          146.605      
                3.10964          139.165      
                3.11028          132.189      
                3.11123          126.732      
                3.11266          123.365      
                3.1148           122.002      
                3.11802          122.134      
                3.12284          123.275      
                3.13007          125.253      
                3.14092          128.208      
                3.15719          132.5        
                3.1816           138.646      
                3.21822          147.334      
                3.27314          159.454      
                3.35552          176.185      
                3.4791           199.185      
                3.6041           220.947      
                3.7291           242.063      
                3.8541           264.08       
                3.88535          270.996      
                3.88828          271.788      
                3.89267          273.42       
                3.89432          274.24       
                3.89494          274.598      
                3.89586          275.378      
                3.89621          275.723      
                3.89673          276.505      
                3.89693          276.851      
                3.89722          277.606      
                3.89766          285.012      
                3.8981           290.437      
                3.89854          293.391      
                3.8992           295.142      
                3.90019          295.945      
                3.90168          296.311      
                3.9039           296.596      
                3.90725          296.967      
                3.91226          297.514      
                3.91977          298.334      
                3.93105          299.562      
                3.94796          301.401      
                3.97333          304.152      
                4.               307.035      
                4.               307.035      
                4.25             297.618      
                4.5              281.529      
                4.75             260.548      
                5.               234.492      




