
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             3735centroid  

                0.               794.591E-15  
              100.E-03           465.289E-03  
              200.E-03             2.14519    
              300.E-03             6.05579    
              400.E-03            13.4511     
              500.E-03            25.0192     
              600.E-03            40.189      
              700.E-03            57.8159     
              800.E-03            77.1354     
              900.E-03            97.8681     
                1.                87.5178     
                1.                87.5178     
                1.00625           57.7687     
                1.0125            53.2898     
                1.01875           53.1745     
                1.025             53.5191     
                1.03437           54.1078     
                1.04844           55.2065     
                1.06953           57.7428     
                1.07151           58.0676     
                1.07225           58.2003     
                1.07336           58.4337     
                1.07378           58.5284     
                1.07441           58.6931     
                1.07464           58.7593     
                1.07499           58.8716     
                1.07512           58.9161     
                1.07532           58.9892     
                1.07562           59.1269     
                1.07573           59.1841     
                1.07577           59.2065     
                1.07583           59.242      
                1.07593           59.3016     
                1.07596           59.3256     
                1.07602           59.3644     
                1.07604           59.3858     
                1.07607           59.4982     
                1.0761            59.6942     
                1.07613           59.9001     
                1.07617           60.1649     
                1.07624           60.4615     
                1.07634           60.7572     
                1.07649           61.024      
                1.07671           61.2514     
                1.07705           61.4494     
                1.07756           61.636      
                1.07832           61.8234     
                1.07947           62.0161     
                1.08118           62.2226     
                1.08375           62.4677     
                1.08761           62.7956     
                1.09339           63.2682     
                1.10207           63.9659     
                1.11509           64.9986     
                1.13462           66.5218     
                1.16391           68.7581     
                1.20785           72.0238     
                1.27376           76.7699     
                1.37262           83.6505     
                1.47262           90.4297     
                1.57262           97.1184     
                1.67262          103.808      
                1.77262          110.641      
                1.87262          118.202      
                1.87887          118.768      
                1.88824          119.764      
                1.89176          120.219      
                1.89308          120.411      
                1.89505          120.788      
                1.8958           120.953      
                1.89691          121.329      
                1.89733          121.502      
                1.89795          121.999      
                1.89889          124.756      
                1.89983          125.575      
                1.90077          125.863      
                1.90217          126.011      
                1.90429          126.132      
                1.90745          126.289      
                1.91221          126.52       
                1.91933          126.867      
                1.93002          127.386      
                1.94606          128.164      
                1.97011          129.328      
                2.               130.77       
                2.               130.77       
                2.25             125.059      
                2.5              116.275      
                2.75             105.642      
                3.                93.2964     
                3.                93.2964     
                3.00781           52.9681     
                3.01563           50.5665     
                3.02344           51.5718     
                3.03125           52.4887     
                3.04297           53.758      
                3.06055           56.0093     
                3.08691           72.2948     
                3.09351           74.1822     
                3.1001            76.2204     
                3.10257           77.1365     
                3.1035            77.5164     
                3.10489           78.212      
                3.10541           78.4994     
                3.10619           79.0233     
                3.10648           79.2369     
                3.10692           79.6137     
                3.10758           80.4829     
                3.10783           80.8755     
                3.10792           81.0339     
                3.10806           81.2787     
                3.10812           81.3699     
                3.10819           81.4863     
                3.10831           81.3233     
                3.10836           81.1779     
                3.10842           80.7485     
                3.10845           80.5733     
                3.10848           80.3123     
                3.10854           79.8311     
                3.10862           78.8312     
                3.10875           77.1825     
                3.10894           75.03       
                3.10922           72.6255     
                3.10964           70.2261     
                3.11028           68.1064     
                3.11123           66.5109     
                3.11266           65.5556     
                3.1148            65.1898     
                3.11802           65.2626     
                3.12284           65.6419     
                3.13007           66.2912     
                3.14092           67.2723     
                3.15719           68.7233     
                3.1816            70.8533     
                3.21822           73.9612     
                3.27314           78.4687     
                3.35552           84.9778     
                3.4791            94.382      
                3.6041           103.682      
                3.7291           113.018      
                3.8541           123.053      
                3.88535          126.282      
                3.88828          126.657      
                3.89267          127.433      
                3.89432          127.829      
                3.89494          128.003      
                3.89586          128.386      
                3.89621          128.557      
                3.89673          128.949      
                3.89693          129.123      
                3.89722          129.508      
                3.89766          132.37       
                3.8981           133.716      
                3.89854          134.361      
                3.8992           134.733      
                3.90019          134.92       
                3.90168          135.035      
                3.9039           135.157      
                3.90725          135.328      
                3.91226          135.582      
                3.91977          135.964      
                3.93105          136.535      
                3.94796          137.391      
                3.97333          138.673      
                4.               140.016      
                4.               140.016      
                4.25             134.164      
                4.5              125.12       
                4.75             114.152      
                5.               101.435      




