
                             FromFieldDataUVAR
                             M17atpartinstance
                             PART-1-1element10
                  X             1909centroid  

                0.               794.591E-15  
              100.E-03           464.502E-03  
              200.E-03             1.10829    
              300.E-03             2.33972    
              400.E-03             5.23999    
              500.E-03            10.5855     
              600.E-03            17.97       
              700.E-03            26.536      
              800.E-03            35.8159     
              900.E-03            45.7179     
                1.                38.0884     
                1.                38.0884     
                1.00625           50.7587     
                1.0125            68.6185     
                1.01875           78.7062     
                1.025             84.4451     
                1.03437           90.3465     
                1.04844           98.2424     
                1.06953          111.357      
                1.07151          112.734      
                1.07225          113.274      
                1.07336          114.183      
                1.07378          114.539      
                1.07441          115.123      
                1.07464          115.348      
                1.07499          115.703      
                1.07512          115.837      
                1.07532          116.039      
                1.07562          116.302      
                1.07573          116.377      
                1.07577          116.399      
                1.07583          116.414      
                1.07593          116.31       
                1.07596          116.242      
                1.07602          115.893      
                1.07604          115.696      
                1.07607          115.13       
                1.0761           114.463      
                1.07613          113.81       
                1.07617          112.984      
                1.07624          112.123      
                1.07634          111.446      
                1.07649          111.132      
                1.07671          111.219      
                1.07705          111.625      
                1.07756          112.235      
                1.07832          112.957      
                1.07947          113.733      
                1.08118          114.57       
                1.08375          115.558      
                1.08761          116.871      
                1.09339          118.737      
                1.10207          121.443      
                1.11509          125.348      
                1.13462          130.92       
                1.16391          138.768      
                1.20785          149.669      
                1.27376          164.621      
                1.37262          184.959      
                1.47262          203.88       
                1.57262          221.727      
                1.67262          238.907      
                1.77262          255.835      
                1.87262          273.737      
                1.87887          275.027      
                1.88824          277.254      
                1.89176          278.25       
                1.89308          278.667      
                1.89505          279.471      
                1.8958           279.819      
                1.89691          280.603      
                1.89733          280.962      
                1.89795          281.986      
                1.89889          291.218      
                1.89983          294.321      
                1.90077          295.163      
                1.90217          295.514      
                1.90429          295.795      
                1.90745          296.17       
                1.91221          296.725      
                1.91933          297.557      
                1.93002          298.802      
                1.94606          300.666      
                1.97011          303.452      
                2.               306.899      
                2.               306.899      
                2.25             291.977      
                2.5              269.258      
                2.75             241.692      
                3.               207.847      
                3.               207.847      
                3.00781           63.9285     
                3.01563           35.986      
                3.02344           29.3786     
                3.03125           26.8178     
                3.04297           24.7803     
                3.06055           23.2383     
                3.08691           20.7593     
                3.09351           21.6225     
                3.1001            22.7973     
                3.10257           23.4008     
                3.1035            23.667      
                3.10489           24.186      
                3.10541           24.4113     
                3.10619           24.8471     
                3.10648           25.0321     
                3.10692           25.3764     
                3.10758           26.2779     
                3.10783           26.7325     
                3.10792           26.9255     
                3.10806           27.2654     
                3.10812           27.4013     
                3.10819           27.6184     
                3.10831           27.9564     
                3.10836           28.1067     
                3.10842           28.5833     
                3.10845           28.8473     
                3.10848           29.4416     
                3.10854           30.3486     
                3.10862           31.1857     
                3.10875           31.6058     
                3.10894           31.5995     
                3.10922           31.4268     
                3.10964           31.3259     
                3.11028           31.3696     
                3.11123           31.5038     
                3.11266           31.6363     
                3.1148            31.7117     
                3.11802           31.7318     
                3.12284           31.725      
                3.13007           31.7189     
                3.14092           31.7437     
                3.15719           31.8516     
                3.1816            32.1439     
                3.21822           32.8054     
                3.27314           34.1488     
                3.35552           36.6671     
                3.4791            41.1069     
                3.6041            46.0859     
                3.7291            51.4319     
                3.8541            57.3069     
                3.88535           59.1128     
                3.88828           59.3149     
                3.89267           59.7114     
                3.89432           59.9073     
                3.89494           59.9925     
                3.89586           60.177      
                3.89621           60.2593     
                3.89673           60.4483     
                3.89693           60.5329     
                3.89722           60.7228     
                3.89766           62.6096     
                3.8981            63.5515     
                3.89854           63.9054     
                3.8992            64.0463     
                3.90019           64.1059     
                3.90168           64.161      
                3.9039            64.24       
                3.90725           64.3586     
                3.91226           64.5366     
                3.91977           64.8038     
                3.93105           65.2051     
                3.94796           65.808      
                3.97333           66.7143     
                4.                67.6696     
                4.                67.6696     
                4.25              61.8269     
                4.5               54.354      
                4.75              46.8334     
                5.                39.9952     




